Track Name;Artist;YouTube Link
24K Magic;Bruno Mars;https://www.youtube.com/watch?v=UqyT8IEBkvY
Dangerous Woman;Ariana Grande;https://www.youtube.com/watch?v=9WbCfHutDSE
Can't Feel My Face;The Weeknd;https://www.youtube.com/watch?v=KEI4qSrkPAs
Pink + White;Frank Ocean;https://www.youtube.com/watch?v=uzS3WG6__G4
Starboy;The Weeknd;https://www.youtube.com/watch?v=34Na4j8AVgA
Into You;Ariana Grande;https://www.youtube.com/watch?v=1ekZEVeXwek
Style (Taylor's Version);Taylor Swift;https://www.youtube.com/watch?v=2JgvVfOfoWI
What Do You Mean?;Justin Bieber;https://www.youtube.com/watch?v=DK_0jXPuIr0
Locked out of Heaven;Bruno Mars;https://www.youtube.com/watch?v=e-fA-gBCkj0
Counting Stars;OneRepublic;https://www.youtube.com/watch?v=hT_nvWreIhg
One Last Time;Ariana Grande;https://www.youtube.com/watch?v=BPgEgaPk62M
Mirrors;Justin Timberlake;https://www.youtube.com/watch?v=uuZE_IRwLNI
Blank Space (Taylor's Version);Taylor Swift;https://www.youtube.com/watch?v=gir8BEqAutk
no tears left to cry;Ariana Grande;https://www.youtube.com/watch?v=ffxKSjUwKdU
Treat You Better;Shawn Mendes;https://www.youtube.com/watch?v=lY2yjAdbvdQ
goosebumps;Travis Scott;https://www.youtube.com/watch?v=Dst9gZkq1a8
Look What You Made Me Do;Taylor Swift;https://www.youtube.com/watch?v=3tmd-ClpJxA
Old Town Road - Remix;Lil Nas X;https://www.youtube.com/watch?v=7ysFgElQtjI
Adore You;Harry Styles;https://www.youtube.com/watch?v=VF-r5TtlT9w
New Rules;Dua Lipa;https://www.youtube.com/watch?v=k2qgadSvNyU
This Is What You Came For;Calvin Harris;https://www.youtube.com/watch?v=kOkQ4T5WO9E
Best Song Ever;One Direction;https://www.youtube.com/watch?v=o_v9MY_FMcw
Paradise;Coldplay;https://www.youtube.com/watch?v=1G4isv_Fylg
Cool for the Summer;Demi Lovato;https://www.youtube.com/watch?v=il9nqWw9W3Y
Break Free;Ariana Grande;https://www.youtube.com/watch?v=L8eRzOYhLuw
Love Me Harder;Ariana Grande;https://www.youtube.com/watch?v=g5qU7p7yOY8
Talking to the Moon;Bruno Mars;https://www.youtube.com/watch?v=fXw0jcYbqdo
Back To You;Selena Gomez;https://www.youtube.com/watch?v=Iy-MoHGw5wY
Diamonds;Rihanna;https://www.youtube.com/watch?v=lWA2pjMjpBs
Drag Me Down;One Direction;https://www.youtube.com/watch?v=Jwgf3wmiA04
Live While We're Young;One Direction;https://www.youtube.com/watch?v=AbPED9bisSc
Love On The Brain;Rihanna;https://www.youtube.com/watch?v=nyxKQYWaWOg
Thrift Shop (feat. Wanz);Macklemore & Ryan Lewis;https://www.youtube.com/watch?v=QK8mJJJvaes
Baby;Justin Bieber;https://www.youtube.com/watch?v=kffacxfA7G4
Bloody Mary;Lady Gaga;https://www.youtube.com/watch?v=VFwmKL5OL-Q
Needed Me;Rihanna;https://www.youtube.com/watch?v=wfN4PVaOU5Q
Let Me Down Slowly;Alec Benjamin;https://www.youtube.com/watch?v=50VNCymT-Cs
Sweater Weather;The Neighbourhood;https://www.youtube.com/watch?v=GCdwKhTtNNw
When We Were Young;Adele;https://www.youtube.com/watch?v=DDWKuo3gXMQ
Young And Beautiful;Lana Del Rey;https://www.youtube.com/watch?v=o_1aF54DO60
Lose You To Love Me;Selena Gomez;https://www.youtube.com/watch?v=zlJDTxahav0
High Hopes;Panic! At The Disco;https://www.youtube.com/watch?v=IPXIgEAGe4U
All The Stars (with SZA);Kendrick Lamar;https://www.youtube.com/watch?v=JQbjS0_ZfJ0
